VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,01/01/2019 12:11:49 AM,01/01/2019 12:23:07 AM,2,3.6,1,N,161,41,1,12.5,0.5,0.5,2.5,0.0,0.3,16.3,
1,01/01/2019 12:38:41 AM,01/01/2019 01:08:52 AM,4,3.2,1,N,161,249,2,18.5,0.5,0.5,0.0,0.0,0.3,19.8,
2,01/01/2019 12:14:19 AM,01/01/2019 12:17:03 AM,2,0.78,1,N,236,236,1,4.5,0.5,0.5,1.16,0.0,0.3,6.96,
2,01/01/2019 12:20:57 AM,01/01/2019 12:30:01 AM,1,1.71,1,N,236,142,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8,
2,01/01/2019 12:36:13 AM,01/01/2019 12:46:08 AM,2,2.28,1,N,43,151,1,9.5,0.5,0.5,2.16,0.0,0.3,12.96,
2,01/01/2019 12:56:36 AM,01/01/2019 01:04:49 AM,2,1.57,1,N,238,41,1,8.0,0.5,0.5,1.86,0.0,0.3,11.16,
2,01/01/2019 12:27:41 AM,01/01/2019 12:42:43 AM,1,2.8,1,N,113,229,2,12.0,0.5,0.5,0.0,0.0,0.3,13.3,
2,01/01/2019 12:46:37 AM,01/01/2019 12:53:37 AM,1,1.18,1,N,141,262,1,7.0,0.5,0.5,1.66,0.0,0.3,9.96,
1,01/01/2019 12:21:23 AM,01/01/2019 12:26:07 AM,2,0.4,1,N,233,233,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,
1,01/01/2019 12:49:45 AM,01/01/2019 12:56:01 AM,1,1.0,1,N,113,79,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,
1,01/01/2019 12:56:42 AM,01/01/2019 01:26:09 AM,4,6.0,1,N,79,75,1,24.0,0.5,0.5,5.05,0.0,0.3,30.35,
2,01/01/2019 12:10:50 AM,01/01/2019 12:17:46 AM,5,1.32,1,N,42,41,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,
2,01/01/2019 12:32:36 AM,01/01/2019 12:54:08 AM,3,3.65,1,N,43,224,2,15.5,0.5,0.5,0.0,0.0,0.3,16.8,
1,01/01/2019 12:32:24 AM,01/01/2019 12:33:21 AM,0,5.3,1,N,50,50,1,2.5,0.5,0.5,0.75,0.0,0.3,4.55,
1,01/01/2019 12:36:37 AM,01/01/2019 12:42:40 AM,1,1.4,1,N,50,239,1,6.5,0.5,0.5,1.55,0.0,0.3,9.35,
1,01/01/2019 12:44:29 AM,01/01/2019 12:48:05 AM,3,0.6,1,N,238,238,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,
1,01/01/2019 12:52:53 AM,01/01/2019 01:27:03 AM,2,14.4,1,N,238,98,2,42.0,0.5,0.5,0.0,5.76,0.3,49.06,
2,01/01/2019 12:28:12 AM,01/01/2019 12:34:55 AM,1,1.43,1,N,14,228,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,
2,01/01/2019 12:55:16 AM,01/01/2019 01:01:05 AM,1,1.0,1,N,11,22,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,
1,01/01/2019 12:29:10 AM,01/01/2019 01:23:09 AM,2,11.0,1,N,181,239,1,40.0,0.5,0.5,10.33,0.0,0.3,51.63,
2,01/01/2019 12:20:30 AM,01/01/2019 12:36:07 AM,1,1.5,1,N,161,229,2,10.5,0.5,0.5,0.0,0.0,0.3,11.8,
2,01/01/2019 12:42:50 AM,01/01/2019 12:51:48 AM,1,0.72,1,N,162,43,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,
2,01/01/2019 12:53:39 AM,01/02/2019 12:51:48 AM,1,2.6,1,N,43,137,1,13.0,0.5,0.5,2.14,0.0,0.3,16.44,
1,01/01/2019 12:16:33 AM,01/01/2019 12:23:16 AM,1,1.5,1,N,236,237,1,7.0,0.5,0.5,1.65,0.0,0.3,9.95,
1,01/01/2019 12:24:43 AM,01/01/2019 12:30:13 AM,1,1.0,1,N,237,140,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,
1,01/01/2019 12:34:18 AM,01/01/2019 12:38:47 AM,1,0.6,1,N,140,237,1,5.0,0.5,0.5,1.25,0.0,0.3,7.55,
1,01/01/2019 12:39:55 AM,01/01/2019 12:51:01 AM,1,1.9,1,N,237,238,1,9.5,0.5,0.5,3.2,0.0,0.3,14.0,
